Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346491927314.swc,-0.882623899
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346502609063.swc,-0.882574302
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346491240312.swc,-0.882537577
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346459651076.swc,-0.882483725
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346481985981.swc,-0.882224626
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346491739966.swc,-0.882165323
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346494780554.swc,-0.882023811
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346504748934.swc,-0.881889523
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346494455784.swc,-0.881854394
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346479320018.swc,-0.881746128
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346494458759.swc,-0.881706637
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346510963330.swc,-0.881671241
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346486733281.swc,-0.881538445
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346501326733.swc,-0.881469022
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346507532063.swc,-0.881457246
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346494680040.swc,-0.881456319
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346489929433.swc,-0.881349466
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346500948636.swc,-0.881345816
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346501162584.swc,-0.881327185
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346504084064.swc,-0.88130655
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346489697881.swc,-0.88129429
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346492390188.swc,-0.881264077
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346482006461.swc,-0.881240953
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346483038117.swc,-0.881233025
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346499563358.swc,-0.881199908
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346500236287.swc,-0.881190726
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346478252245.swc,-0.881170785
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346493878073.swc,-0.881155815
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346480881885.swc,-0.881148854
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346512194862.swc,-0.88102758
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346498409009.swc,-0.880973301
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346471756187.swc,-0.880930369
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346479633883.swc,-0.880812558
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346483541141.swc,-0.880784153
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346502030921.swc,-0.880766305
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346493144896.swc,-0.880730893
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346513926169.swc,-0.880660817
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346481055200.swc,-0.880565655
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346492715694.swc,-0.880520534
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346483903381.swc,-0.880474069
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346497417601.swc,-0.880458135
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346509677370.swc,-0.880381744
right_flipped_neuron_648518346491240312.swc,left_neuron_648518346486370962.swc,-0.880159467
