Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346478252245.swc,-0.882660559
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346486733281.swc,-0.882434813
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346489697881.swc,-0.882429456
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346492715694.swc,-0.882380842
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346481985981.swc,-0.882317767
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346501326733.swc,-0.882168858
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346504748934.swc,-0.882126285
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346486370962.swc,-0.882112084
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346510963330.swc,-0.881999683
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346493878073.swc,-0.881989066
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346483541141.swc,-0.881920356
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346482006461.swc,-0.881832634
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346504084064.swc,-0.881742949
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346502030921.swc,-0.881669951
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346491927314.swc,-0.881627958
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346501162584.swc,-0.881534588
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346500236287.swc,-0.881494243
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346497417601.swc,-0.881475438
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346483038117.swc,-0.881461772
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346491739966.swc,-0.881444103
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346494458759.swc,-0.881412945
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346493144896.swc,-0.881412278
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346499563358.swc,-0.881398285
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346481055200.swc,-0.881363897
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346513926169.swc,-0.881353337
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346492390188.swc,-0.881341247
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346494780554.swc,-0.881283427
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346494455784.swc,-0.8811986
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346471756187.swc,-0.881184266
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346489929433.swc,-0.88117207
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346507532063.swc,-0.881166429
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346480881885.swc,-0.881160188
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346509677370.swc,-0.881158768
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346498409009.swc,-0.881109702
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346500948636.swc,-0.881101386
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346502609063.swc,-0.881058028
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346479633883.swc,-0.881013144
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346512194862.swc,-0.880703332
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346483903381.swc,-0.880696302
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346479320018.swc,-0.880632598
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346491240312.swc,-0.880495136
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346494680040.swc,-0.880368299
right_flipped_neuron_648518346501162584.swc,left_neuron_648518346459651076.swc,-0.879895407
