Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346499563358.swc,-0.882396151
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346480881885.swc,-0.882198908
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346481985981.swc,-0.882129065
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346509677370.swc,-0.882012097
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346501326733.swc,-0.882003255
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346489929433.swc,-0.881968374
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346504748934.swc,-0.881881127
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346494780554.swc,-0.881879089
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346507532063.swc,-0.881777525
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346492715694.swc,-0.88169851
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346497417601.swc,-0.881618841
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346510963330.swc,-0.881604146
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346479320018.swc,-0.881572203
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346491927314.swc,-0.881552248
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346500236287.swc,-0.881532402
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346483541141.swc,-0.881527418
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346494455784.swc,-0.881495603
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346486370962.swc,-0.881468496
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346459651076.swc,-0.881456419
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346513926169.swc,-0.881455513
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346502030921.swc,-0.881451639
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346498409009.swc,-0.881393525
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346482006461.swc,-0.881391163
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346492390188.swc,-0.88138074
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346491240312.swc,-0.881359545
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346494458759.swc,-0.881351141
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346479633883.swc,-0.881350933
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346493878073.swc,-0.881311017
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346486733281.swc,-0.88126801
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346494680040.swc,-0.88126799
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346471756187.swc,-0.881257148
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346512194862.swc,-0.881244863
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346481055200.swc,-0.881170147
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346493144896.swc,-0.881056434
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346502609063.swc,-0.8809855
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346478252245.swc,-0.880975807
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346501162584.swc,-0.880952554
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346491739966.swc,-0.880890962
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346500948636.swc,-0.88084888
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346483903381.swc,-0.880787641
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346504084064.swc,-0.880767096
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346489697881.swc,-0.880762481
right_flipped_neuron_648518346509677370.swc,left_neuron_648518346483038117.swc,-0.880693493
