Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346501326733.swc,-0.88261547
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346480881885.swc,-0.882555383
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346479320018.swc,-0.882054957
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346491240312.swc,-0.882037897
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346483541141.swc,-0.88194757
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346498409009.swc,-0.881902576
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346499563358.swc,-0.881832845
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346507532063.swc,-0.881774
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346483038117.swc,-0.881769481
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346509677370.swc,-0.881759579
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346489929433.swc,-0.88172508
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346481985981.swc,-0.881688402
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346504748934.swc,-0.881675034
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346489697881.swc,-0.881655294
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346493144896.swc,-0.881653277
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346492390188.swc,-0.881648631
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346483903381.swc,-0.881602529
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346491927314.swc,-0.881595224
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346497417601.swc,-0.881546932
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346494680040.swc,-0.88149752
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346459651076.swc,-0.88145085
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346493878073.swc,-0.881391533
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346512194862.swc,-0.881338784
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346494455784.swc,-0.881313916
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346502030921.swc,-0.881298141
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346482006461.swc,-0.881297902
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346478252245.swc,-0.881275585
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346510963330.swc,-0.881263956
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346479633883.swc,-0.881222786
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346494780554.swc,-0.881195438
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346486370962.swc,-0.881141008
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346494458759.swc,-0.881119697
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346492715694.swc,-0.881059453
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346501162584.swc,-0.881052049
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346486733281.swc,-0.880996608
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346502609063.swc,-0.880980758
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346481055200.swc,-0.880970222
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346500948636.swc,-0.88096615
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346504084064.swc,-0.880923743
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346513926169.swc,-0.880916183
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346491739966.swc,-0.880702876
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346471756187.swc,-0.88052172
right_flipped_neuron_648518346494458759.swc,left_neuron_648518346500236287.swc,-0.880221494
