Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346459651076.swc,-0.882517368
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346483541141.swc,-0.882467871
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346491240312.swc,-0.882415259
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346502609063.swc,-0.882378893
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346481985981.swc,-0.882209567
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346486733281.swc,-0.882129709
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346492715694.swc,-0.882110891
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346510963330.swc,-0.881998622
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346479320018.swc,-0.88195121
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346482006461.swc,-0.881766646
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346509677370.swc,-0.881752607
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346500948636.swc,-0.881736058
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346500236287.swc,-0.881686185
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346499563358.swc,-0.88165005
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346471756187.swc,-0.881568979
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346497417601.swc,-0.881545348
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346502030921.swc,-0.881531637
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346501162584.swc,-0.881428623
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346493878073.swc,-0.881377844
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346498409009.swc,-0.881360162
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346489929433.swc,-0.881327675
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346494455784.swc,-0.881295082
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346512194862.swc,-0.881250422
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346492390188.swc,-0.881209654
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346507532063.swc,-0.881208836
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346494780554.swc,-0.881197928
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346489697881.swc,-0.881184382
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346493144896.swc,-0.881107183
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346513926169.swc,-0.881097378
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346504084064.swc,-0.88098345
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346504748934.swc,-0.880949315
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346494458759.swc,-0.880949091
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346481055200.swc,-0.880925767
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346479633883.swc,-0.880914254
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346483038117.swc,-0.880903735
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346491739966.swc,-0.88089302
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346494680040.swc,-0.880802131
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346483903381.swc,-0.880629383
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346480881885.swc,-0.880492808
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346501326733.swc,-0.880461938
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346491927314.swc,-0.880348002
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346486370962.swc,-0.879940889
right_flipped_neuron_648518346486733281.swc,left_neuron_648518346478252245.swc,-0.879930321
