Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346491739966.swc,-0.882409003
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346497417601.swc,-0.882226195
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346459651076.swc,-0.882127672
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346512194862.swc,-0.881968759
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346507532063.swc,-0.881964579
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346478252245.swc,-0.881904677
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346481055200.swc,-0.881846025
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346489697881.swc,-0.881779246
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346479320018.swc,-0.881718516
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346494680040.swc,-0.881669742
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346494455784.swc,-0.881663752
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346481985981.swc,-0.881633383
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346510963330.swc,-0.88162977
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346509677370.swc,-0.881577311
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346491240312.swc,-0.88157283
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346483541141.swc,-0.881546144
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346493144896.swc,-0.881535215
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346504084064.swc,-0.881460045
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346486370962.swc,-0.881454851
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346480881885.swc,-0.881376189
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346500948636.swc,-0.881346515
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346483903381.swc,-0.881333912
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346504748934.swc,-0.881322464
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346482006461.swc,-0.88128276
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346501326733.swc,-0.881262269
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346493878073.swc,-0.881249477
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346471756187.swc,-0.881230199
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346501162584.swc,-0.88120609
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346502609063.swc,-0.881146415
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346502030921.swc,-0.881114996
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346492715694.swc,-0.881066591
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346489929433.swc,-0.8810101
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346498409009.swc,-0.880990783
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346479633883.swc,-0.880979484
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346494458759.swc,-0.880947609
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346500236287.swc,-0.880925979
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346483038117.swc,-0.880844188
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346491927314.swc,-0.880809449
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346499563358.swc,-0.880780526
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346513926169.swc,-0.880665956
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346494780554.swc,-0.880476523
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346492390188.swc,-0.880320101
right_flipped_neuron_648518346459651076.swc,left_neuron_648518346486733281.swc,-0.87990073
