Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346494780554.swc,-0.882786115
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346494455784.swc,-0.882468794
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346481985981.swc,-0.882311745
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346491927314.swc,-0.882117402
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346504084064.swc,-0.882050752
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346489929433.swc,-0.882049033
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346507532063.swc,-0.882007974
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346502609063.swc,-0.882007425
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346491240312.swc,-0.882006135
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346500948636.swc,-0.881962752
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346491739966.swc,-0.881878851
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346459651076.swc,-0.881783659
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346513926169.swc,-0.881772956
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346478252245.swc,-0.881759661
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346486370962.swc,-0.881746946
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346493144896.swc,-0.881745444
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346497417601.swc,-0.881673692
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346510963330.swc,-0.881561346
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346494680040.swc,-0.881545831
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346504748934.swc,-0.881514204
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346480881885.swc,-0.881454862
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346501326733.swc,-0.881443377
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346502030921.swc,-0.88143575
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346483541141.swc,-0.88137959
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346481055200.swc,-0.881346761
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346479320018.swc,-0.881341051
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346512194862.swc,-0.881340622
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346498409009.swc,-0.881337518
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346486733281.swc,-0.881292657
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346483903381.swc,-0.881191967
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346493878073.swc,-0.881118762
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346499563358.swc,-0.881111295
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346482006461.swc,-0.881038018
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346489697881.swc,-0.881019655
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346492390188.swc,-0.880987212
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346501162584.swc,-0.880881675
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346492715694.swc,-0.880835453
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346509677370.swc,-0.880768781
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346494458759.swc,-0.880723293
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346483038117.swc,-0.880670698
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346500236287.swc,-0.880554825
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346479633883.swc,-0.880457526
right_flipped_neuron_648518346504748934.swc,left_neuron_648518346471756187.swc,-0.879995581
