Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346498409009.swc,-0.882458553
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346491240312.swc,-0.882353916
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346483903381.swc,-0.882191206
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346491927314.swc,-0.881994475
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346486370962.swc,-0.881943876
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346513926169.swc,-0.881934181
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346502609063.swc,-0.881881191
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346509677370.swc,-0.881876382
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346491739966.swc,-0.88184426
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346494455784.swc,-0.881822727
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346471756187.swc,-0.881797393
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346481985981.swc,-0.881797278
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346499563358.swc,-0.881716371
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346483038117.swc,-0.881711495
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346492715694.swc,-0.881675759
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346500236287.swc,-0.881633626
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346479320018.swc,-0.881631029
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346489697881.swc,-0.881601978
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346480881885.swc,-0.881577017
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346482006461.swc,-0.881486778
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346478252245.swc,-0.881476597
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346459651076.swc,-0.881440939
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346507532063.swc,-0.881417486
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346497417601.swc,-0.881417155
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346483541141.swc,-0.881412394
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346504748934.swc,-0.881377014
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346502030921.swc,-0.881375226
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346510963330.swc,-0.881368711
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346512194862.swc,-0.88135256
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346493144896.swc,-0.881346328
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346494458759.swc,-0.881338472
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346481055200.swc,-0.881280537
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346500948636.swc,-0.881245079
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346479633883.swc,-0.881201126
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346494680040.swc,-0.881176128
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346494780554.swc,-0.881114136
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346492390188.swc,-0.881044666
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346493878073.swc,-0.880809571
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346501162584.swc,-0.880808227
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346486733281.swc,-0.880783487
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346504084064.swc,-0.880742952
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346501326733.swc,-0.880730381
right_flipped_neuron_648518346507532063.swc,left_neuron_648518346489929433.swc,-0.880727709
