Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346483903381.swc,-0.882290681
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346504748934.swc,-0.882262546
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346491739966.swc,-0.882241958
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346507532063.swc,-0.882219208
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346512194862.swc,-0.882170019
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346493878073.swc,-0.882120739
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346479320018.swc,-0.882102225
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346494455784.swc,-0.882015667
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346459651076.swc,-0.881955002
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346471756187.swc,-0.881944719
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346481055200.swc,-0.881858451
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346491240312.swc,-0.88181894
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346489697881.swc,-0.881811959
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346483541141.swc,-0.881787331
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346501326733.swc,-0.881757528
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346480881885.swc,-0.881714313
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346493144896.swc,-0.881689936
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346483038117.swc,-0.881600139
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346492715694.swc,-0.881578964
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346500948636.swc,-0.881523134
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346489929433.swc,-0.88147518
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346501162584.swc,-0.881470239
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346492390188.swc,-0.881449077
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346481985981.swc,-0.8814267
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346497417601.swc,-0.881404033
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346499563358.swc,-0.881385746
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346482006461.swc,-0.881373903
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346494780554.swc,-0.881304724
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346491927314.swc,-0.881298877
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346504084064.swc,-0.881243285
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346513926169.swc,-0.881209012
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346502030921.swc,-0.881198298
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346494458759.swc,-0.881192777
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346494680040.swc,-0.881170967
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346510963330.swc,-0.881169818
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346486733281.swc,-0.881153842
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346479633883.swc,-0.881143482
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346509677370.swc,-0.88113639
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346498409009.swc,-0.881059131
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346502609063.swc,-0.881041964
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346500236287.swc,-0.881016233
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346486370962.swc,-0.880825647
right_flipped_neuron_648518346501326733.swc,left_neuron_648518346478252245.swc,-0.880811534
