Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346481985981.swc,-0.882341712
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346483541141.swc,-0.882019927
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346479320018.swc,-0.882017586
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346480881885.swc,-0.882012983
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346500948636.swc,-0.881986792
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346471756187.swc,-0.881933153
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346489697881.swc,-0.881927296
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346501326733.swc,-0.881841402
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346494458759.swc,-0.881824226
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346498409009.swc,-0.881747025
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346502030921.swc,-0.881673896
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346486370962.swc,-0.881649531
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346509677370.swc,-0.881645598
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346494680040.swc,-0.881619277
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346459651076.swc,-0.881593487
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346504748934.swc,-0.881578149
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346512194862.swc,-0.881575158
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346504084064.swc,-0.881513224
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346486733281.swc,-0.881457744
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346491240312.swc,-0.881445973
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346507532063.swc,-0.881435537
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346489929433.swc,-0.881415718
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346494455784.swc,-0.881301307
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346479633883.swc,-0.881225484
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346497417601.swc,-0.881203371
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346502609063.swc,-0.881201227
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346492715694.swc,-0.881165894
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346483038117.swc,-0.881158518
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346482006461.swc,-0.88113287
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346478252245.swc,-0.88113032
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346500236287.swc,-0.881121626
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346499563358.swc,-0.881057978
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346513926169.swc,-0.88103205
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346492390188.swc,-0.881017147
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346481055200.swc,-0.881016371
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346493144896.swc,-0.880996049
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346510963330.swc,-0.880957827
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346491927314.swc,-0.880920108
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346491739966.swc,-0.88090447
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346501162584.swc,-0.880887537
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346493878073.swc,-0.880802493
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346494780554.swc,-0.880715346
right_flipped_neuron_648518346494680040.swc,left_neuron_648518346483903381.swc,-0.880464621
