Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346482006461.swc,-0.882183486
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346494680040.swc,-0.882152227
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346510963330.swc,-0.881948529
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346491927314.swc,-0.881944768
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346504748934.swc,-0.881882117
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346492390188.swc,-0.881851309
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346489929433.swc,-0.881814431
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346507532063.swc,-0.881796043
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346478252245.swc,-0.881794801
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346483541141.swc,-0.88176567
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346509677370.swc,-0.881759181
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346494455784.swc,-0.881750068
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346491739966.swc,-0.881749816
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346492715694.swc,-0.881712668
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346491240312.swc,-0.881677388
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346493878073.swc,-0.881659263
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346459651076.swc,-0.88162217
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346513926169.swc,-0.881615772
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346486733281.swc,-0.881602068
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346481985981.swc,-0.881597988
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346494780554.swc,-0.881526246
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346479320018.swc,-0.881517577
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346483903381.swc,-0.881514659
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346480881885.swc,-0.88149371
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346502030921.swc,-0.881448472
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346479633883.swc,-0.881427756
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346512194862.swc,-0.881410144
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346502609063.swc,-0.881401467
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346500236287.swc,-0.88138354
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346489697881.swc,-0.881366066
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346483038117.swc,-0.881365096
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346501326733.swc,-0.881317906
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346493144896.swc,-0.881312088
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346497417601.swc,-0.881233094
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346481055200.swc,-0.881208192
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346498409009.swc,-0.881186624
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346471756187.swc,-0.881141331
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346494458759.swc,-0.881119073
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346501162584.swc,-0.880855247
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346500948636.swc,-0.880832848
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346504084064.swc,-0.880811606
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346499563358.swc,-0.880764808
right_flipped_neuron_648518346500948636.swc,left_neuron_648518346486370962.swc,-0.880696904
