Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346494680040.swc,-0.882297732
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346479320018.swc,-0.882213537
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346480881885.swc,-0.882056067
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346489697881.swc,-0.882032689
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346504748934.swc,-0.881916556
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346486370962.swc,-0.881889765
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346471756187.swc,-0.881849671
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346492715694.swc,-0.88180563
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346481055200.swc,-0.881801835
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346500236287.swc,-0.881792581
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346501326733.swc,-0.881768677
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346478252245.swc,-0.881662284
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346489929433.swc,-0.881632485
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346493144896.swc,-0.881613918
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346491739966.swc,-0.881599097
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346483541141.swc,-0.881593454
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346509677370.swc,-0.881576895
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346491240312.swc,-0.881556575
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346483903381.swc,-0.881525225
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346481985981.swc,-0.881502831
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346504084064.swc,-0.881481916
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346500948636.swc,-0.881463179
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346502030921.swc,-0.881414181
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346512194862.swc,-0.881397653
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346493878073.swc,-0.881370451
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346483038117.swc,-0.881354549
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346491927314.swc,-0.881354283
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346502609063.swc,-0.881347509
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346459651076.swc,-0.881329957
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346501162584.swc,-0.881324004
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346482006461.swc,-0.881308582
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346498409009.swc,-0.881291097
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346494455784.swc,-0.88121461
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346497417601.swc,-0.881117865
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346494780554.swc,-0.881006249
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346494458759.swc,-0.880996053
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346486733281.swc,-0.880992423
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346507532063.swc,-0.880988292
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346492390188.swc,-0.880987032
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346513926169.swc,-0.880959784
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346499563358.swc,-0.88079005
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346510963330.swc,-0.880733089
right_flipped_neuron_648518346498409009.swc,left_neuron_648518346479633883.swc,-0.880732722
