Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346478252245.swc,-0.882362067
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346482006461.swc,-0.882262034
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346489697881.swc,-0.882069238
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346479320018.swc,-0.882055725
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346504748934.swc,-0.882041421
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346507532063.swc,-0.882011537
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346459651076.swc,-0.881893259
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346510963330.swc,-0.881856153
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346494680040.swc,-0.881798421
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346491739966.swc,-0.881796634
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346513926169.swc,-0.881781073
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346491240312.swc,-0.881771573
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346509677370.swc,-0.881762792
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346483903381.swc,-0.881752498
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346481055200.swc,-0.881722754
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346481985981.swc,-0.881684036
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346493878073.swc,-0.881623557
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346480881885.swc,-0.881611676
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346471756187.swc,-0.881605585
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346502030921.swc,-0.881584486
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346501326733.swc,-0.881583999
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346493144896.swc,-0.881576496
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346489929433.swc,-0.881574922
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346500948636.swc,-0.881526031
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346499563358.swc,-0.881521449
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346492715694.swc,-0.88150075
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346494455784.swc,-0.88145083
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346494780554.swc,-0.881445184
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346479633883.swc,-0.881439044
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346498409009.swc,-0.881411452
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346502609063.swc,-0.881409681
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346483541141.swc,-0.881383006
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346486370962.swc,-0.881350896
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346492390188.swc,-0.88134579
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346501162584.swc,-0.881314168
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346491927314.swc,-0.881273909
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346497417601.swc,-0.881203964
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346500236287.swc,-0.88110044
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346512194862.swc,-0.88107313
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346486733281.swc,-0.881036468
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346483038117.swc,-0.88090606
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346504084064.swc,-0.880778431
right_flipped_neuron_648518346499563358.swc,left_neuron_648518346494458759.swc,-0.88066146
