Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346501326733.swc,-0.883279551
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346471756187.swc,-0.883235268
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346510963330.swc,-0.883147814
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346480881885.swc,-0.883096949
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346491739966.swc,-0.882257055
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346501162584.swc,-0.882165823
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346512194862.swc,-0.882165182
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346498409009.swc,-0.882164818
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346494458759.swc,-0.88203128
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346486370962.swc,-0.882008354
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346489929433.swc,-0.881918753
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346494455784.swc,-0.881877584
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346493878073.swc,-0.881780379
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346479320018.swc,-0.881667104
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346504084064.swc,-0.881590602
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346493144896.swc,-0.881524809
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346492390188.swc,-0.881490206
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346494680040.swc,-0.881483574
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346513926169.swc,-0.881365966
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346502609063.swc,-0.881348321
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346492715694.swc,-0.881261832
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346482006461.swc,-0.881181341
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346499563358.swc,-0.881139961
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346481055200.swc,-0.881054436
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346483903381.swc,-0.880989944
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346504748934.swc,-0.880953036
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346500948636.swc,-0.880947876
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346497417601.swc,-0.880900005
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346491240312.swc,-0.880848474
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346486733281.swc,-0.880809709
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346483541141.swc,-0.880763096
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346509677370.swc,-0.880755199
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346507532063.swc,-0.880691526
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346481985981.swc,-0.880517077
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346459651076.swc,-0.880509735
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346483038117.swc,-0.880313863
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346479633883.swc,-0.880254395
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346502030921.swc,-0.880237313
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346494780554.swc,-0.880201903
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346491927314.swc,-0.880093878
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346489697881.swc,-0.87986552
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346500236287.swc,-0.87980866
right_flipped_neuron_648518346493878073.swc,left_neuron_648518346478252245.swc,-0.879675054
