Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346480881885.swc,-0.883742998
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346486370962.swc,-0.883075964
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346483541141.swc,-0.882910983
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346494455784.swc,-0.882720659
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346493144896.swc,-0.882675481
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346494458759.swc,-0.882653946
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346471756187.swc,-0.882599532
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346501162584.swc,-0.882593071
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346494680040.swc,-0.882492924
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346512194862.swc,-0.882487465
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346493878073.swc,-0.882348919
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346483903381.swc,-0.882334713
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346501326733.swc,-0.882012811
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346504084064.swc,-0.881936749
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346479320018.swc,-0.881824617
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346483038117.swc,-0.881818159
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346491927314.swc,-0.881765496
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346494780554.swc,-0.881745035
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346489929433.swc,-0.881712907
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346491739966.swc,-0.881630434
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346498409009.swc,-0.881586265
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346481055200.swc,-0.88155897
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346489697881.swc,-0.881249638
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346492715694.swc,-0.881224677
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346491240312.swc,-0.881104072
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346500236287.swc,-0.88105348
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346499563358.swc,-0.880675464
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346510963330.swc,-0.880537993
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346502609063.swc,-0.880428774
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346513926169.swc,-0.880278147
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346492390188.swc,-0.880202533
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346500948636.swc,-0.87999118
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346478252245.swc,-0.879982068
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346481985981.swc,-0.879879799
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346504748934.swc,-0.879744899
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346482006461.swc,-0.879689294
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346479633883.swc,-0.879474832
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346497417601.swc,-0.879467456
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346486733281.swc,-0.879423351
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346502030921.swc,-0.879176115
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346459651076.swc,-0.879162609
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346509677370.swc,-0.878982121
right_flipped_neuron_648518346492390188.swc,left_neuron_648518346507532063.swc,-0.878931176
