Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346494780554.swc,-0.882540621
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346507532063.swc,-0.882503059
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346481985981.swc,-0.88232765
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346486370962.swc,-0.882160508
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346494455784.swc,-0.882098753
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346498409009.swc,-0.882023631
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346491739966.swc,-0.881954924
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346459651076.swc,-0.881895356
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346504748934.swc,-0.881871368
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346500948636.swc,-0.88184679
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346491927314.swc,-0.881769552
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346513926169.swc,-0.881712679
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346497417601.swc,-0.881710445
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346483903381.swc,-0.881659033
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346494458759.swc,-0.881601797
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346501326733.swc,-0.88159209
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346492715694.swc,-0.881527169
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346471756187.swc,-0.881493365
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346493878073.swc,-0.881481172
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346491240312.swc,-0.881472849
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346502609063.swc,-0.881434876
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346510963330.swc,-0.881425301
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346489697881.swc,-0.881410973
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346494680040.swc,-0.881409728
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346512194862.swc,-0.881397091
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346479320018.swc,-0.881392172
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346489929433.swc,-0.881364412
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346483541141.swc,-0.881359108
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346504084064.swc,-0.88135822
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346480881885.swc,-0.881348818
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346483038117.swc,-0.881335105
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346486733281.swc,-0.881197782
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346479633883.swc,-0.881178738
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346500236287.swc,-0.88112931
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346499563358.swc,-0.881110738
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346493144896.swc,-0.881054787
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346501162584.swc,-0.881039867
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346482006461.swc,-0.880957928
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346509677370.swc,-0.880933256
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346481055200.swc,-0.880932412
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346478252245.swc,-0.880863512
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346502030921.swc,-0.880719505
right_flipped_neuron_648518346489929433.swc,left_neuron_648518346492390188.swc,-0.880453142
