Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346491739966.swc,-0.882790265
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346500236287.swc,-0.882422309
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346493878073.swc,-0.882277204
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346486370962.swc,-0.882263591
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346483038117.swc,-0.882243562
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346486733281.swc,-0.882134157
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346504084064.swc,-0.882120497
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346479633883.swc,-0.882018409
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346489929433.swc,-0.881990423
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346494455784.swc,-0.881973291
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346502609063.swc,-0.881913644
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346492715694.swc,-0.881892659
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346494680040.swc,-0.881830366
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346501162584.swc,-0.881813964
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346491240312.swc,-0.881781333
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346494780554.swc,-0.881773013
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346499563358.swc,-0.881723233
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346481055200.swc,-0.881651863
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346491927314.swc,-0.881632479
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346492390188.swc,-0.881608215
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346501326733.swc,-0.881602672
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346481985981.swc,-0.881580188
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346471756187.swc,-0.881574566
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346500948636.swc,-0.881546736
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346498409009.swc,-0.881460533
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346504748934.swc,-0.881441482
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346478252245.swc,-0.881416331
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346483903381.swc,-0.881194145
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346497417601.swc,-0.881174623
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346479320018.swc,-0.881170038
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346507532063.swc,-0.881160564
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346482006461.swc,-0.881139092
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346493144896.swc,-0.881082746
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346489697881.swc,-0.88107923
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346510963330.swc,-0.880941602
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346480881885.swc,-0.880896917
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346502030921.swc,-0.880833909
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346509677370.swc,-0.880766269
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346459651076.swc,-0.880766166
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346512194862.swc,-0.880758263
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346494458759.swc,-0.880719553
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346513926169.swc,-0.880619248
right_flipped_neuron_648518346481055200.swc,left_neuron_648518346483541141.swc,-0.880597258
