Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346494455784.swc,-0.882464342
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346459651076.swc,-0.882215609
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346501326733.swc,-0.882194853
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346502609063.swc,-0.882165164
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346509677370.swc,-0.88208985
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346491739966.swc,-0.882073566
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346507532063.swc,-0.882050446
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346481985981.swc,-0.881983558
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346491927314.swc,-0.881944551
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346493878073.swc,-0.88193818
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346513926169.swc,-0.881863553
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346491240312.swc,-0.881796077
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346486370962.swc,-0.881722588
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346489929433.swc,-0.881709492
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346504748934.swc,-0.881705743
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346483541141.swc,-0.881615634
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346483903381.swc,-0.881598609
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346481055200.swc,-0.881581124
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346510963330.swc,-0.881580396
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346502030921.swc,-0.881560184
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346489697881.swc,-0.881514258
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346482006461.swc,-0.881413645
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346500948636.swc,-0.881325574
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346501162584.swc,-0.881317137
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346494458759.swc,-0.88131386
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346478252245.swc,-0.881272372
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346492390188.swc,-0.881272252
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346486733281.swc,-0.881254332
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346493144896.swc,-0.881240078
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346500236287.swc,-0.881224611
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346497417601.swc,-0.881220052
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346483038117.swc,-0.881219651
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346494780554.swc,-0.881145644
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346494680040.swc,-0.881135689
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346479320018.swc,-0.881119152
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346512194862.swc,-0.881013662
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346498409009.swc,-0.880966872
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346479633883.swc,-0.880935434
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346471756187.swc,-0.880838139
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346480881885.swc,-0.880810566
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346504084064.swc,-0.880797975
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346492715694.swc,-0.880656133
right_flipped_neuron_648518346479633883.swc,left_neuron_648518346499563358.swc,-0.880537333
