Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346459651076.swc,-0.882768452
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346513926169.swc,-0.882612297
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346497417601.swc,-0.882600247
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346481055200.swc,-0.882577033
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346504748934.swc,-0.882437289
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346492715694.swc,-0.88234088
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346500948636.swc,-0.882280717
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346480881885.swc,-0.88219668
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346483903381.swc,-0.88214128
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346494780554.swc,-0.881997274
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346494458759.swc,-0.881930594
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346489929433.swc,-0.881836593
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346512194862.swc,-0.881681798
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346479320018.swc,-0.881653929
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346486733281.swc,-0.881640439
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346510963330.swc,-0.881636517
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346502030921.swc,-0.881477666
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346471756187.swc,-0.881367936
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346483038117.swc,-0.881350329
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346493878073.swc,-0.881340733
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346494455784.swc,-0.881247665
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346491240312.swc,-0.881226033
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346504084064.swc,-0.881211906
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346499563358.swc,-0.881183102
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346483541141.swc,-0.881092793
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346478252245.swc,-0.881018375
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346501326733.swc,-0.880943215
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346489697881.swc,-0.880933766
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346502609063.swc,-0.880887845
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346500236287.swc,-0.880874422
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346498409009.swc,-0.8808514
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346494680040.swc,-0.880821061
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346481985981.swc,-0.880714372
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346507532063.swc,-0.880695225
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346501162584.swc,-0.880640159
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346509677370.swc,-0.880617873
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346493144896.swc,-0.880377552
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346486370962.swc,-0.880328412
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346482006461.swc,-0.880239171
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346492390188.swc,-0.880186826
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346491927314.swc,-0.880126678
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346491739966.swc,-0.880008137
right_flipped_neuron_648518346483541141.swc,left_neuron_648518346479633883.swc,-0.879243557
