Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346483541141.swc,-0.882609562
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346489697881.swc,-0.882547466
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346480881885.swc,-0.882540398
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346507532063.swc,-0.88234337
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346504748934.swc,-0.882291103
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346479320018.swc,-0.88197665
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346512194862.swc,-0.881933361
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346509677370.swc,-0.881918826
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346498409009.swc,-0.881915982
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346502030921.swc,-0.881772307
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346481985981.swc,-0.881712459
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346491927314.swc,-0.88168682
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346486370962.swc,-0.881671904
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346489929433.swc,-0.881646081
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346494680040.swc,-0.881643913
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346491739966.swc,-0.881619232
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346499563358.swc,-0.881592723
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346513926169.swc,-0.881469082
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346501162584.swc,-0.88145329
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346486733281.swc,-0.881449903
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346510963330.swc,-0.88144255
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346500948636.swc,-0.8814302
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346491240312.swc,-0.881396432
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346494455784.swc,-0.881369084
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346501326733.swc,-0.881359798
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346493144896.swc,-0.881354381
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346504084064.swc,-0.881330677
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346483038117.swc,-0.881326115
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346482006461.swc,-0.881325605
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346483903381.swc,-0.881217507
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346492715694.swc,-0.881196977
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346471756187.swc,-0.881127606
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346459651076.swc,-0.881127379
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346481055200.swc,-0.881114177
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346478252245.swc,-0.881107438
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346493878073.swc,-0.881059869
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346497417601.swc,-0.881012502
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346492390188.swc,-0.880930216
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346502609063.swc,-0.880826262
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346479633883.swc,-0.880713366
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346494780554.swc,-0.880545917
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346494458759.swc,-0.880522863
right_flipped_neuron_648518346512194862.swc,left_neuron_648518346500236287.swc,-0.880252194
