Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346489929433.swc,-0.882811642
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346493878073.swc,-0.882227212
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346492390188.swc,-0.882155101
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346494780554.swc,-0.882099428
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346507532063.swc,-0.882029535
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346492715694.swc,-0.882014419
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346510963330.swc,-0.881999689
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346501162584.swc,-0.881943822
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346478252245.swc,-0.881832945
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346494455784.swc,-0.881810182
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346489697881.swc,-0.881741582
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346483541141.swc,-0.881709849
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346491927314.swc,-0.881705822
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346491240312.swc,-0.88168529
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346459651076.swc,-0.88165196
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346500236287.swc,-0.881640197
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346502609063.swc,-0.88162243
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346483038117.swc,-0.881615002
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346481985981.swc,-0.88159136
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346493144896.swc,-0.881587337
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346479633883.swc,-0.88153771
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346497417601.swc,-0.881494665
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346494458759.swc,-0.881490261
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346501326733.swc,-0.881465335
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346502030921.swc,-0.881402159
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346486370962.swc,-0.881399536
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346504084064.swc,-0.881349715
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346513926169.swc,-0.881327711
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346479320018.swc,-0.881302508
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346483903381.swc,-0.881294908
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346486733281.swc,-0.881278312
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346499563358.swc,-0.881243886
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346498409009.swc,-0.881195007
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346471756187.swc,-0.881170647
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346491739966.swc,-0.881106171
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346481055200.swc,-0.881092073
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346509677370.swc,-0.881084112
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346482006461.swc,-0.881057667
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346512194862.swc,-0.880964747
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346480881885.swc,-0.880943018
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346494680040.swc,-0.880922015
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346504748934.swc,-0.880618878
right_flipped_neuron_648518346480881885.swc,left_neuron_648518346500948636.swc,-0.880579964
