Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346459651076.swc,-0.882652603
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346491739966.swc,-0.882448676
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346491240312.swc,-0.88244057
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346502609063.swc,-0.882411958
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346479320018.swc,-0.882394139
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346481985981.swc,-0.882382234
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346507532063.swc,-0.882241807
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346471756187.swc,-0.882172687
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346480881885.swc,-0.882161353
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346494680040.swc,-0.881931325
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346486370962.swc,-0.881810875
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346500948636.swc,-0.881708052
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346478252245.swc,-0.881684044
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346489697881.swc,-0.881682192
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346494780554.swc,-0.881560644
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346504748934.swc,-0.881506119
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346513926169.swc,-0.881500878
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346489929433.swc,-0.881478043
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346483541141.swc,-0.881477391
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346494455784.swc,-0.881457862
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346482006461.swc,-0.881406002
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346481055200.swc,-0.881384134
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346492715694.swc,-0.881344414
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346498409009.swc,-0.881329234
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346492390188.swc,-0.881284334
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346500236287.swc,-0.881271048
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346501326733.swc,-0.881247178
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346512194862.swc,-0.881241345
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346499563358.swc,-0.8811575
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346510963330.swc,-0.881134915
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346479633883.swc,-0.881118016
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346483038117.swc,-0.881106803
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346504084064.swc,-0.881100647
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346509677370.swc,-0.881099022
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346483903381.swc,-0.881071115
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346497417601.swc,-0.881025958
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346494458759.swc,-0.881020552
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346491927314.swc,-0.880954824
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346486733281.swc,-0.880706357
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346493878073.swc,-0.880669375
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346493144896.swc,-0.880666647
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346502030921.swc,-0.880665743
right_flipped_neuron_648518346481985981.swc,left_neuron_648518346501162584.swc,-0.880441915
