Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346502609063.swc,-0.881997357
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346489929433.swc,-0.881947597
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346509677370.swc,-0.88183085
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346480881885.swc,-0.881789812
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346500948636.swc,-0.881727664
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346486733281.swc,-0.881698993
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346482006461.swc,-0.881694684
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346497417601.swc,-0.8816473
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346478252245.swc,-0.881596336
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346491739966.swc,-0.881567047
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346494680040.swc,-0.881561145
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346481985981.swc,-0.881526673
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346504084064.swc,-0.881462364
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346493144896.swc,-0.881440654
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346491240312.swc,-0.881408501
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346483038117.swc,-0.881378254
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346502030921.swc,-0.881369863
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346492715694.swc,-0.881357834
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346489697881.swc,-0.88131879
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346507532063.swc,-0.881305444
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346491927314.swc,-0.881288969
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346483541141.swc,-0.881238428
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346494780554.swc,-0.881227704
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346501326733.swc,-0.881209709
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346479320018.swc,-0.881171219
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346513926169.swc,-0.881118684
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346501162584.swc,-0.881107917
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346492390188.swc,-0.881088528
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346498409009.swc,-0.881067612
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346500236287.swc,-0.881045763
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346483903381.swc,-0.880994624
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346481055200.swc,-0.880965942
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346459651076.swc,-0.880963711
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346471756187.swc,-0.880954327
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346486370962.swc,-0.880918347
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346494455784.swc,-0.880876123
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346504748934.swc,-0.880869063
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346479633883.swc,-0.880863111
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346494458759.swc,-0.880777936
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346512194862.swc,-0.880738942
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346499563358.swc,-0.880728737
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346510963330.swc,-0.880721004
right_flipped_neuron_648518346483038117.swc,left_neuron_648518346493878073.swc,-0.880570483
