Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346507532063.swc,-0.882906539
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346459651076.swc,-0.882548381
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346491739966.swc,-0.882456198
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346504748934.swc,-0.882341407
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346471756187.swc,-0.882330606
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346486370962.swc,-0.882261281
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346494780554.swc,-0.88225732
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346489697881.swc,-0.88222835
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346483541141.swc,-0.882168159
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346479320018.swc,-0.882021463
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346494455784.swc,-0.882012555
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346491240312.swc,-0.882011356
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346498409009.swc,-0.881819379
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346494680040.swc,-0.88174383
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346481985981.swc,-0.881721987
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346513926169.swc,-0.881688678
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346493144896.swc,-0.881582681
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346509677370.swc,-0.881562044
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346486733281.swc,-0.881527176
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346502609063.swc,-0.881521285
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346483038117.swc,-0.88148564
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346479633883.swc,-0.881394888
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346500948636.swc,-0.881343854
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346480881885.swc,-0.88129764
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346510963330.swc,-0.881295861
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346499563358.swc,-0.881294825
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346482006461.swc,-0.881285813
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346493878073.swc,-0.881258687
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346492390188.swc,-0.881253363
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346501326733.swc,-0.881222483
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346483903381.swc,-0.881172056
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346497417601.swc,-0.88111327
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346500236287.swc,-0.881090455
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346489929433.swc,-0.881056163
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346504084064.swc,-0.88105204
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346491927314.swc,-0.881021517
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346512194862.swc,-0.881002335
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346478252245.swc,-0.880994504
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346494458759.swc,-0.880974355
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346481055200.swc,-0.88097198
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346501162584.swc,-0.880924558
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346492715694.swc,-0.880470599
right_flipped_neuron_648518346513926169.swc,left_neuron_648518346502030921.swc,-0.880126396
